タイムスタンプ,受付,国籍※国籍が分かる場合「その他」に国名を記入,時間帯,目的,人数,性別,年齢,問い合わせ内容,Komatsu九館内の案内,交通,目的地※主な所を一ヶ所,周辺店舗、飲食店※複数可,観光案内,パンフレットお渡し,物産,宿泊,イベント,その他（落とし物、ATM、公衆電話、授乳室など）,問い合わせ内容/回答
2025/04/01,窓口,1.日本,12時台,ビジネス,個人,男性,40代から50代,物産,,,,,,,食品,,,,駅弁はあるかとのお問い合わせ。お寿司をご案内し、カブーレでも販売あるとお伝えしました。（田中）
2025/04/01,窓口,1.日本,15時台,市民利用,個人,男性,60代以上,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/01,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/01,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/01,窓口,1.日本,12時台,市民利用,個人,女性,学生,交通,,シェアサイクル,駐車場の場所など問い合わせ,,,,,,,,
2025/04/02,窓口,1.日本,09時台,観光,個人,女性,60代以上,交通,,鉄道,不明,,,,,,,,在来線の入り口はどこかとお問い合わせ、案内しました(大音)
2025/04/02,窓口,3.欧米,09時台,観光,個人,男性,40代から50代,観光案内,,,,,那谷寺,バスの時刻表をお渡ししました,,,,,那谷寺に行くバスの時間と乗り場のお問い合わせ、案内しました(大音)
2025/04/02,窓口,1.日本,09時台,観光,個人,男性,40代から50代,周辺店舗、飲食店,,,,パチンコ屋,,,,,,,時間つぶしのためにパチンコ屋に行きたいとお問い合わせ、ご案内しました(大音)
2025/04/02,窓口,1.日本,11時台,観光,2〜5人,女性,60代以上,観光案内,,,,,みよっさ,見て歩きマップ,,,,,みよっさに行くので地図がほしいとお問い合わせ、案内しました(大音)
2025/04/02,窓口,1.日本,09時台,市民利用,個人,女性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/02,窓口,1.日本,11時台,観光,2〜5人,男女,40代から50代,観光案内,,,,,安宅住吉神社、安宅の関,お渡しなし,,,,,安宅の関に行くとおっしゃるご夫婦、バスの時刻をご案内しました（大音）
2025/04/02,窓口,1.日本,13時台,観光,2〜5人,男女,40代から50代,観光案内,,,,,"日本自動車博物館, 航空プラザ, こまつの杜","じゃらん, 見て歩きマップ, 個別のパンフレット",,,,,航空プラザ、自動車博物館、こまつの杜のアクセスをご案内しました。（田中）
2025/04/02,窓口,1.日本,11時台,観光,2〜5人,男女,20代から30代,Komatsu九館内,こまつ820ステーション,,,,,,,,,,購入ものを食べれる場所のお問い合わせ
2025/04/02,窓口,1.日本,14時台,観光,2〜5人,女性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/02,窓口,1.日本,14時台,観光,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/03,窓口,2.アジア,11時台,観光,2〜5人,男女,40代から50代,交通,,バス,那谷寺,,,,,,,,
2025/04/03,窓口,1.日本,17時台,市民利用,個人,女性,20代から30代,交通,,バス,南口,,,,,,,,
2025/04/04,窓口,2.アジア,09時台,観光,個人,男性,20代から30代,Komatsu九館内,荷物を預ける所はないかのお問い合わせ,,,,,,,,,,荷物を預ける所はないかのお問い合わせで、預ける所はないがロッカーがあると答えました(大音)
2025/04/04,窓口,1.日本,09時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,Komatsu九について,,,,,,,,,,近くに銀行がないか問い合わせがありセブンイレブンを案内しました　(林)
2025/04/04,窓口,1.日本,11時台,市民利用,個人,男性,60代以上,Komatsu九館内,Komatsu九について,,,,,,,,,,コーヒーが飲めるところの問い合わせでユニコーヒーを案内しました(林)
2025/04/04,窓口,1.日本,12時台,観光,個人,男性,40代から50代,交通,,バス,イオンモール,,,,,,,,イオンモールへのバスがあるか問い合わせありました。バス乗り場案内、時刻表と地図を渡しました。(林)
2025/04/04,窓口,1.日本,13時台,市民利用,個人,女性,60代以上,物産,,,,,,,小松市の地図がないかと問い合わせ,,,,小松市の地図がないかと問い合わせあり、渡しました(林)
2025/04/05,窓口,2.アジア,10時台,観光,2〜5人,男女,40代から50代,交通,,バス,日本自動車博物館,,,,,,,,
2025/04/05,窓口,3.欧米,15時台,観光,2〜5人,男女,60代以上,交通,,公共交通機関で行くのは難しいくお車でとお伝え,白山,,,,,,,,
2025/04/05,窓口,2.アジア,19時以降,観光,2〜5人,男性,20代から30代,交通,,バス,小松空港,,,,,,,,
2025/04/05,窓口,1.日本,19時以降,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/06,窓口,1.日本,11時台,観光,個人,女性,60代以上,交通,,タクシーとバス,安宅住吉神社、勧進帳ものがたり館,,,,,,,,
2025/04/06,窓口,1.日本,11時台,観光,個人,女性,60代以上,交通,,鉄道,加賀温泉,,,,,,,,
2025/04/06,窓口,2.アジア,14時台,観光,個人,男性,20代から30代,交通,,シェアサイクル,木場潟公園,,,,,,,,木場潟公園公園までシェアサイクルでどのくらいかかるか？25分ほどとご案内した。（田中）
2025/04/06,窓口,1.日本,13時台,市民利用,2〜5人,男女,40代から50代,交通,,バス,北鉄加賀バス営業所,,,,,,,,北鉄加賀バスの定期券の売り場はどこかとのお問い合わせ。小松インター近くの営業所をご案内した（田中）
2025/04/06,窓口,1.日本,09時台,市民利用,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/06,窓口,2.アジア,14時台,観光,個人,男性,20代から30代,交通,,バス,小松空港,,,,,,,,
2025/04/07,窓口,1.日本,12時台,ビジネス,個人,男性,20代から30代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/07,窓口,1.日本,14時台,市民利用,個人,女性,60代以上,物産,,,,,,,お菓子,,,,徳田のきんつばはあるかとのお問い合わせ。ご用意がないとご案内した（田中）
2025/04/07,窓口,3.欧米,10時台,観光,2〜5人,男女,60代以上,観光案内,,,,,こまつの杜,個別のパンフレット,,,,,
2025/04/07,窓口,1.日本,14時台,市民利用,個人,女性,60代以上,交通,,バス,ソフィア病院,,,,,,,,ソフィア病院までのアクセス。15時までに行きたいとの事でイオンモール行きのシャトルバスをご案内しました（田中）
2025/04/07,窓口,1.日本,17時台,市民利用,個人,女性,40代から50代,周辺店舗、飲食店,,,,"ランチ, 小松うどん、塩焼きそば",,,,,,,来週、若い女性が数名、小松に来る予定で昼食、またバスで行けるおすすめの所のお問い合わせで見て歩きマップ、こまつの杜、ゆのくにの森、那谷寺の案内をしパンフレットをお渡ししました、那谷寺に行く際にはパンプスだと滑る可能性がある事もお伝えしました(大音)
2025/04/08,窓口,1.日本,08時台,市民利用,個人,女性,40代から50代,シェアサイクルについて,シェアサイクルについて,,,,,,,,,,シェアサイクルについて、料金がセブンンイレブンとなぜ違うのか、チケットを購入して自転車がない場合はどうするのかとのお問い合わせ、説明をしました(大音)
2025/04/10,窓口,2.アジア,10時台,観光,個人,女性,20代から30代,交通,,レンタカー,一向一揆歴史館,,,,,,,,
2025/04/10,窓口,1.日本,14時台,観光,2〜5人,男性,60代以上,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/10,窓口,1.日本,14時台,観光,2〜5人,女性,60代以上,Komatsu九館内,こまつ820ステーション,,,,,,,,,,空港行きのバスの時間までベンチに座りたい。とのことで、こまつ820ステーションを案内しました(林)
2025/04/10,窓口,1.日本,14時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/10,窓口,1.日本,16時台,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/10,窓口,3.欧米,16時台,観光,2〜5人,男女,20代から30代,Komatsu九館内,UNICOFFEE,,,,,,,,,,閉店時間の問い合わせ
2025/04/10,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/10,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,周辺店舗、飲食店,,,,御朱印店舗の場所,,,,,,,
2025/04/11,窓口,1.日本,10時台,観光,2〜5人,女性,40代から50代,観光案内,,,,,みよっさ,"見て歩きマップ, こまつの杜、こまつぐるめりMAP",,,,,小松は初めてでコナンをみて隈取をしていたと所へ行きたい。とのことでみよっさを案内しました。こまつの杜は行ってみたら本日臨時休園となっていて残念がっていました。焼きそばが有名と聞いてこられてたので勝っちゃんを案内しました。金沢は回転寿司も王道で近くにありますか？と聞かれたのでイオンモールのバスに乗って行き向かいに回転寿司があると伝えました(林)
2025/04/11,窓口,2.アジア,12時台,観光,2〜5人,男女,40代から50代,観光案内,,,,,"ゆのくにの森, 日本自動車博物館, 那谷寺, 粟津温泉総湯",お渡しなし,,,,,韓国からお越しの方、近くに日帰り温泉はないかとお問い合わせ、ゆのくにの森、那谷寺、自動車博物館に行くとのことだったので粟津温泉総湯をご案内(見付)
2025/04/11,窓口,2.アジア,14時台,観光,2〜5人,男女,40代から50代,交通,,バス,那谷寺,,,,,,,,
2025/04/11,窓口,1.日本,14時台,ビジネス,個人,女性,40代から50代,交通,,徒歩,八日市町のマンションへ行きたい,,,,,,,,地図で案内をした(林)
2025/04/11,窓口,2.アジア,17時台,観光,2〜5人,男女,40代から50代,交通,,バス,イオンモール新小松店,,,,,,,,
2025/04/12,窓口,1.日本,09時台,観光,個人,女性,60代以上,交通,,タクシー,ゆのくにの森,,,,,,,,ゆのくにの森までのアクセス案内。バスが丁度いい時間がすぐなかったのでタクシーをご案内しました（田中）
2025/04/12,窓口,1.日本,12時台,観光,個人,女性,40代から50代,観光案内,,,,,粟津温泉,お渡しなし,,,,,小松駅から粟津温泉に行く交通手段のお問い合わせ、バスでの案内をしました(大音)
2025/04/12,窓口,1.日本,11時台,市民利用,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/13,電話,1.日本,08時台,観光,個人,女性,60代以上,観光案内,,,,,ポムポムプリンについて,送付,,,,,GWにポムポムプリンに関連する店舗、お寺、お勧めの観光のお問い合わせ、パンフレットを送付する事にししました｟大音｠
2025/04/13,窓口,1.日本,09時台,観光,2〜5人,男女,40代から50代,観光案内,,,,,那谷寺,お渡しなし,,,,,那谷寺までにのバスの時刻、タクシーの所要時間をご案内した（田中）
2025/04/13,窓口,1.日本,11時台,観光,個人,男性,60代以上,交通,,バス,粟津温泉,,,,,,,,バス粟津線をご案内しました（田中）
2025/04/13,窓口,1.日本,11時台,観光,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/13,窓口,1.日本,13時台,観光,個人,女性,40代から50代,物産,,,,,,,九谷もんよう,,,,
2025/04/13,窓口,1.日本,15時台,観光,個人,女性,40代から50代,観光案内,,,,,"ゆのくにの森, 那谷寺","じゃらん, 見て歩きマップ, 個別のパンフレット",,,,,ゆのくにの森と那谷寺に4/14に行かれるとの事。それぞれのアクセス方法をご案内した。また九谷焼が見たいとの事で錦窯をご案内。（田中）
2025/04/13,窓口,2.アジア,13時台,観光,2〜5人,男女,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/04/13,窓口,1.日本,17時台,ビジネス,個人,男性,40代から50代,交通,,バス,小松空港,,,,,,,,
2025/04/14,窓口,1.日本,11時台,観光,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/14,窓口,1.日本,08時台,観光,2〜5人,女性,40代から50代,Komatsu九館内,営業時間について,,,,,,,,,,
2025/04/14,窓口,1.日本,11時台,観光,2〜5人,男女,40代から50代,周辺店舗、飲食店,,,,小松うどん、塩焼きそば,,,,,,,
2025/04/14,窓口,1.日本,13時台,観光,個人,男性,60代以上,Komatsu九館内,休憩所→820ご案内,,,,,,,,,,
2025/04/14,窓口,1.日本,14時台,市民利用,個人,男性,60代以上,交通,,バス,小松空港,,,,,,,,
2025/04/14,電話,1.日本,14時台,市民利用,個人,女性,40代から50代,物産,,,,,,,お菓子,,,,小松のおすすめのお土産のお問い合わせ。こまつもんを中心にご案内しました（田中）
2025/04/14,電話,1.日本,14時台,市民利用,個人,女性,40代から50代,Komatsu九館内,Wi-fi,,,,,,,,,,
2025/04/15,窓口,1.日本,14時台,市民利用,個人,男性,40代から50代,交通,,バス,イオンモール新小松,,,,,,,,
2025/04/15,窓口,1.日本,13時台,観光,個人,女性,40代から50代,観光案内,,,,,こまつの杜,個別のパンフレット,,,,,"これから金沢まで移動するがすぐ観光できる所はあるかとのお問い合わせ。
こまつの杜をご案内し、お昼につるっとをご案内。I R時刻表をお渡ししました（田中）"
2025/04/15,窓口,1.日本,12時台,市民利用,個人,男性,40代から50代,交通,,バス,市民病院,,,,,,,,バス粟津線をご案内しました（大音)
2025/04/15,窓口,1.日本,12時台,ビジネス,個人,男性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/15,窓口,1.日本,10時台,ビジネス,2〜5人,男性,20代から30代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/15,窓口,2.アジア,15時台,観光,個人,女性,20代から30代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/16,窓口,1.日本,10時台,市民利用,個人,女性,60代以上,交通,,バス,イオンモール行のバスを知りたい,,,,,,,,イオンモールの時刻表を渡し、乗り場案内しました(林)
2025/04/16,窓口,1.日本,12時台,ビジネス,個人,女性,40代から50代,周辺店舗、飲食店,,,,切手を購入したい,,,,,,,駅前の郵便局を案内しました(林)
2025/04/16,窓口,1.日本,15時台,観光,個人,男性,40代から50代,シェアサイクルについて,シェアサイクルについて,,,,,,,,,,シェアサイクルについてのお問い合わせ、説明しました　(大音)
